departement;code_postal;commune;geocodage_x_GPS;geocodage_y_GPS
1;1100;Oyonnax;5.65241071;46.2538898
1;1000;Bourg-en-Bresse;5.22517643;46.20676468
2;2400;Château-Thierry;3.38927094;49.04801921
2;2000;Laon;3.62633491;49.56982361
2;2100;Saint-Quentin;3.29671879;49.84262881
2;2200;Soissons;3.32305622;49.38573841
2;2700;Tergnier;3.29299764;49.65555538
3;3100;Montluçon;2.59599273;46.34081015
3;3000;Moulins;3.32743809;46.56800268
3;3200;Vichy;3.42401274;46.12779466
4;4000;Digne-les-Bains;6.23499689;44.09321411
4;4100;Manosque;5.78616988;43.83295915
5;5100;Briançon;6.63800505;44.89787608
5;5000;Gap;6.08096577;44.560405
6;6600;Antibes;7.11988475;43.57987588
6;6240;Beausoleil;7.42510061;43.74291348
6;6800;Cagnes-sur-Mer;7.15040689;43.65602164
6;6400;Cannes;7.01669032;43.55402931
6;6150;Cannes La Bocca;6.97951402;43.5495393
6;6130;Grasse;6.92263861;43.65051036
6;6110;Le Cannet;7.01611259;43.57309944
6;6500;Menton;7.4983561;43.7749352
6;6000;Nice;7.27266282;43.70361279
6;6300;Nice;7.30516396;43.73791788
6;6200;Nice;7.20479974;43.67797918
6;6190;Roquebrune-Cap-Martin;7.47069745;43.76096281
6;6700;Saint-Laurent-du-Var;7.19351514;43.67178022
6;6220;Vallauris;7.04851819;43.57512797
6;6230;Villefranche-sur-Mer;7.30998958;43.70526304
7;7200;Aubenas;4.39427863;44.61589218
7;7500;Guilherand-Granges;4.87019144;44.93242653
7;7000;Privas;4.60200224;44.73422364
8;8000;Charleville-Mézières;4.72276131;49.76979477
8;8200;Sedan;4.94428083;49.7021932
9;9000;Foix;1.60409791;42.9629243
9;9100;Pamiers;1.61451272;43.11491596
10;10600;La Chapelle-Saint-Luc;4.03863165;48.30798776
10;10000;Troyes;4.07340142;48.28937242
10;10000;Troyes;4.08220107;48.26970878
10;10000;Troyes;4.09540141;48.30413572
11;11000;Carcassonne;2.35196449;43.21079196
11;11100;Narbonne;3.00854518;43.18421118
12;12300;Decazeville;2.25389448;44.55925637
12;12100;Millau;3.07598923;44.10038662
12;12000;Rodez;2.57737286;44.34963473
13;13100;Aix-en-Provence;5.43825923;43.5236825
13;13190;Allauch;5.48500211;43.35502523
13;13200;Arles;4.63192067;43.67479047
13;13400;Aubagne;5.56679635;43.29510206
13;13800;Istres;4.98931592;43.50261666
13;13170;Les Pennes-Mirabeau;5.35076299;43.37972046
13;13700;Marignane;5.21899007;43.41241871
13;13010;Marseille;5.40895921;43.28303253
13;13011;Marseille;5.46638383;43.28714282
13;13012;Marseille;5.42752712;43.31029046
13;13013;Marseille;5.40775681;43.31972368
13;13014;Marseille;5.39900634;43.33104945
13;13015;Marseille;5.371244;43.34225568
13;13016;Marseille;5.31746811;43.36274481
13;13001;Marseille;5.38078815;43.29737911
13;13002;Marseille;5.36655373;43.30261082
13;13003;Marseille;5.37416292;43.31772323
13;13004;Marseille;5.40012615;43.30787379
13;13005;Marseille;5.40354573;43.29259561
13;13006;Marseille;5.38075738;43.29098347
13;13007;Marseille;5.35653422;43.28988834
13;13008;Marseille;5.39045393;43.25106309
13;13009;Marseille;5.40169368;43.24841617
13;13500;Martigues;5.04690615;43.40618143
13;13140;Miramas;4.99979305;43.57939508
13;13380;Plan-de-Cuques;5.46404925;43.34277557
13;13110;Port-de-Bouc;4.98366285;43.40642719
13;13300;Salon-de-Provence;5.09827001;43.6541907
13;13240;Septèmes-les-Vallons;5.36670592;43.3923575
13;13150;Tarascon;4.65946243;43.80196896
13;13127;Vitrolles;5.25523978;43.43857498
13;13600;La Ciotat;5.60594466;43.1712108
14;14600;Honfleur;0.23644285;49.41779669
14;14000;Caen;-0.37868659;49.18678016
14;14000;Caen;-0.39556445;49.19093786
14;14000;Caen;-0.36043273;49.1790711
14;14650;Carpiquet;-0.44386044;49.18372895
14;14800;Deauville;0.08052979;49.35993153
14;14160;Dives-sur-Mer;-0.10061196;49.28803042
14;14200;Hérouville-Saint-Clair;-0.32961008;49.20481098
14;14100;Lisieux;0.22428478;49.14261917
14;14120;Mondeville;-0.3260116;49.17339815
15;15000;Aurillac;2.44411447;44.92541118
16;16000;Angoulême;0.16278064;45.64919285
16;16000;Angoulême;0.12588857;45.65007178
16;16800;Soyaux;0.18579442;45.64795527
16;16100;Cognac;-0.32446423;45.69553846
17;17000;La-Rochelle;-1.15239298;46.16280858
17;17000;La-Rochelle;-1.1832008;46.16636068
17;17180;Périgny;-1.09834749;46.15682297
17;17300;Rochefort;-0.95964815;45.93449333
17;17200;Royan;-1.03217756;45.62387226
17;17100;Saintes;-0.63665107;45.74684467
18;18000;Bourges;2.38426052;47.09090943
18;18100;Vierzon;2.06490873;47.22345899
19;19200;Ussel;2.31016055;45.54694379
19;19100;Brive-la-Gaillarde;1.53483085;45.16060784
19;19000;Tulle;1.76609559;45.26373636
21;21200;Beaune;4.83491724;47.01778626
21;21000;Dijon;5.03373884;47.31585337
22;22300;Lannion;-3.45162852;48.73164878
22;22000;Saint-Brieuc;-2.75713787;48.50952915
23;23000;Guéret;1.8711253;46.16837716
24;24100;Bergerac;0.49455593;44.85463516
24;24000;Périgueux;0.71608543;45.18621573
25;25000;Besançon;6.02116423;47.23257512
25;25200;Montbéliard;6.79777675;47.51160281
25;25300;Pontarlier;6.35396286;46.9012994
26;26200;Montélimar;4.74917156;44.56628432
26;26100;Romans-sur-Isère;5.04411984;45.04352983
26;26000;Valence;4.89270136;44.93424848
27;27000;Évreux;1.1408737;49.02675323
27;27000;Évreux;1.15032916;49.02763936
27;27400;Louviers;1.16728977;49.21386377
27;27100;Val-de-Reuil;1.21176766;49.27284435
27;27200;Vernon;1.47562229;49.09729059
28;28000;Chartres;1.47953943;48.43627982
28;28100;Dreux;1.36178993;48.73456173
29;29200;Brest;-4.48697183;48.38889008
29;29200;Brest;-4.50843166;48.40466575
29;29200;Brest;-4.47978912;48.39535565
29;29200;Brest;-4.49209043;48.41410668
29;29200;Brest;-4.51645184;48.38286349
29;29900;Concarneau;-3.91868797;47.87436415
29;29600;Morlaix;-3.83142001;48.58119307
29;29600;Saint-Martin-des-Champs;-3.84454198;48.5748582
29;29000;Quimper;-4.09976601;47.99451952
29;29000;Quimper;-4.09780173;48.00385017
29;29000;Quimper;-4.08406459;47.98672881
29;29000;Quimper;-4.12916485;47.98748406
2A;20000;Ajaccio;8.73629616;41.91902001
2B;20200;Bastia;9.45338506;42.70438367
30;30100;Alès;4.07753202;44.12702923
30;30200;Bagnols-sur-Cèze;4.61777349;44.16250631
30;30000;Nîmes;4.36146057;43.82618837
30;30000;Nîmes;4.38562796;43.8423686
30;30000;Nîmes;4.32853582;43.82927688
30;30400;Villeneuve-lès-Avignon;4.79468282;43.96755962
31;31700;Blagnac;1.38484823;43.63768467
31;31770;Colomiers;1.33531889;43.61082251
31;31800;Saint-Gaudens;0.72177188;43.10982402
31;31000;Toulouse;1.43350095;43.61520061
31;31000;Toulouse;1.41222741;43.5800493
31;31000;Toulouse;1.45069738;43.60164371
31;31000;Toulouse;1.46261458;43.61103367
31;31000;Toulouse;1.40002876;43.56588991
31;31000;Toulouse;1.43337563;43.63386972
31;31000;Toulouse;1.48378085;43.57922179
31;31000;Toulouse;1.43161328;43.59709327
31;31000;Toulouse;1.45463525;43.57081958
31;31170;Tournefeuille;1.34675958;43.58602221
32;32000;Auch;0.58615491;43.64656926
33;33120;Arcachon;-1.16096688;44.65828076
33;33320;Eysines;-0.64781326;44.88319786
33;33000;Bordeaux;-0.58881265;44.83504476
33;33130;Bègles;-0.54303303;44.80540999
33;33150;Cenon;-0.51661026;44.85380224
33;33110;Le-Bouscat;-0.59558097;44.86629138
33;33700;Mérignac;-0.64665073;44.84212124
33;33600;Pessac;-0.66917104;44.79448798
33;33400;Talence;-0.59134115;44.81594729
34;34300;Agde;3.47466585;43.31240959
34;34500;Béziers;3.21776361;43.34548693
34;34500;Béziers;3.21587865;43.34463991
34;34110;Frontignan;3.75369483;43.44689201
34;34970;Lattes;3.90621715;43.571021
34;34000;Montpellier;3.89221969;43.60370805
34;34000;Montpellier;3.85988779;43.61153256
34;34000;Montpellier;3.81652803;43.62385305
34;34200;Sète;3.69461482;43.40900569
35;35300;Fougères;-1.19611995;48.35008743
35;35000;Rennes;-1.69028272;48.10213011
35;35400;Saint-Malo;-2.00670642;48.65360423
36;36000;Châteauroux;1.68750457;46.80710276
37;37300;Joué-lès-Tours;0.66215609;47.35170286
37;37000;Tours;0.68600897;47.39157675
38;38130;Échirolles;5.71777613;45.14993121
38;38300;Bourgoin-Jallieu;5.26868936;45.59630798
38;38600;Fontaine;5.68747215;45.19321662
38;38000;Grenoble;5.73658157;45.1930086
38;38000;Grenoble;5.7305681;45.16654917
38;38400;Saint-Martin-d'Hères;5.75623264;45.1775874
38;38200;Vienne;4.87413207;45.52131881
38;38500;Voiron;5.59076993;45.36218635
39;39100;Dole;5.49587841;47.09477036
39;39000;Lons-le-Saunier;5.5589486;46.67140427
40;40100;Dax;-1.05139205;43.71034538
40;40000;Mont-de-Marsan;-0.50292428;43.88925676
41;41000;Blois;1.34186706;47.58996236
41;41000;Blois;1.30900143;47.59509785
41;41100;Vendôme;1.06814053;47.79571661
41;41350;Vineuil;1.37559807;47.58580604
42;42300;Roanne;4.0744471;46.03226657
42;42000;Saint-Étienne;4.40876174;45.42353245
42;42700;Firminy;4.28675831;45.39090102
42;42800;Rive-de-Gier;4.61002963;45.52566799
43;43000;Le-Puy-en-Velay;3.88687013;45.03989191
44;44000;Nantes;-1.55179793;47.2275616
44;44700;Orvault;-1.59718061;47.2535418
44;44400;Rezé;-1.55604449;47.18582176
44;44600;Saint-Nazaire;-2.21352565;47.2743513
44;44800;Saint-Herblain;-1.64823776;47.21381718
44;44500;La-Baule-Escoublac;-2.39027429;47.28843876
45;45160;Olivet;1.90196536;47.87627333
45;45000;Orléans;1.88897951;47.90663761
45;45000;Orléans;1.92893581;47.91264163
45;45000;Orléans;1.93431054;47.83686037
45;45400;Fleury-les-Aubrais;1.91228423;47.93622477
45;45200;Montargis;2.72954129;48.0009477
45;45800;Saint-Jean-de-Braye;1.97045537;47.9106003
45;45140;Saint-Jean-de-la-Ruelle;1.87166308;47.90773582
46;46000;Cahors;1.43899852;44.45139263
47;47000;Agen;0.61221168;44.20021515
47;47300;Villeneuve-sur-Lot;0.70626283;44.40885593
48;48000;Mende;3.49971007;44.51513654
49;49000;Angers;-0.55253004;47.46329785
49;49000;Angers;-0.5632143;47.44840247
49;49000;Angers;-0.5726661;47.47379024
49;49000;Angers;-0.52568817;47.48724284
49;49300;Cholet;-0.86886158;47.05156404
49;49300;Cholet;-0.8908898;47.04695652
49;49400;Saumur;-0.07753873;47.24122959
50;50100;Cherbourg-Octeville;-1.61871701;49.63895433
50;50200;Coutances;-1.44302899;49.04905502
50;50400;Granville;-1.60186687;48.8368863
50;50000;Saint-Lô;-1.09286616;49.11721477
51;51200;Épernay;3.95785091;49.04209643
51;51000;Châlons-en-Champagne;4.36015831;48.96036481
51;51100;Reims;4.02155811;49.25588329
51;51450;Bétheny;4.05116574;49.27236893
51;51100;Reims;4.03662322;49.22663521
51;51100;Reims;4.00522243;49.24490623
51;51100;Reims;4.06042956;49.25555241
51;51100;Reims;4.02038437;49.27119382
51;51430;Tinqueux;3.99175188;49.24736764
52;52000;Chaumont;5.14013725;48.11534936
52;52100;Saint-Dizier;4.96228153;48.63978577
53;53000;Laval;-0.77729077;48.06463465
54;54150;Briey;5.94178032;49.25655259
54;54800;Conflans-en-Jarnisy;5.86152393;49.16665097
54;54110;Dombasle-sur-Meurthe;6.35315741;48.62010649
54;54520;Laxou;6.14477552;48.67945421
54;54400;Longwy;5.76609885;49.51800618
54;54300;Lunéville;6.49925545;48.59288568
54;54000;Nancy;6.19464481;48.68771882
54;54000;Nancy;6.17234272;48.68952893
54;54700;Pont-à-Mousson;6.0551634;48.90364134
54;54130;Saint-Max;6.20984511;48.69792756
54;54200;Toul;5.8874822;48.67912085
54;54500;Vandœuvre-lès-Nancy;6.17290028;48.65966078
54;54190;Villerupt;5.93167471;49.47163295
55;55000;Bar-le-Duc;5.15729306;48.7739243
55;55000;Bar-le-Duc;5.16541093;48.78056843
55;55100;Verdun;5.38605945;49.16205149
56;56100;Lorient;-3.36602737;47.74680545
56;56000;Vannes;-2.76138505;47.66034353
57;57190;Florange;6.12457748;49.3260107
57;57600;Forbach;6.9017596;49.188874
57;57800;Freyming-Merlebach;6.81402392;49.1433555
57;57300;Hagondange;6.16462105;49.25426536
57;57700;Hayange;6.06609247;49.32862079
57;57000;Metz;6.17401144;49.12541985
57;57000;Metz;6.17549366;49.09996974
57;57000;Metz;6.22992115;49.11825317
57;57950;Montigny-lès-Metz;6.15293326;49.10016348
57;57250;Moyeuvre-Grande;6.04521015;49.25168558
57;57120;Rombas;6.09452357;49.25296965
57;57500;Saint-Avold;6.70422789;49.10348902
57;57400;Sarrebourg;7.05203983;48.73253986
57;57200;Sarreguemines;7.071307;49.10730437
57;57100;Thionville;6.16484736;49.36123903
57;57140;Woippy;6.16325625;49.14863874
57;57970;Yutz;6.18858744;49.34584746
58;58000;Nevers;3.15859025;46.99188977
59;59580;Aniche;3.25202723;50.33088385
59;59410;Anzin;3.5000833;50.37164211
59;59280;Armentières;2.88657028;50.68753942
59;59124;Escaudain;3.3448792;50.3377957
59;59190;Hazebrouck;2.54090778;50.72149176
59;59264;Onnaing;3.60327621;50.39333838
59;59270;Bailleul;2.73108619;50.73918506
59;59400;Cambrai;3.22643821;50.17435054
59;59163;Condé-sur-l'Escaut;3.59043404;50.44911225
59;59170;Croix;3.15290621;50.67714458
59;59220;Denain;3.39717727;50.32296921
59;59500;Douai;3.08528283;50.37649483
59;59282;Douchy-les-Mines;3.39543308;50.30214376
59;59140;Dunkerque;2.37602393;51.03828569
59;59820;Gravelines;2.1284321;50.98617348
59;59510;Hem;3.19037525;50.65571999
59;59110;La-Madeleine;3.06779815;50.65106481
59;59000;Lille;3.05025387;50.6151069
59;59000;Lille;3.01176776;50.6398107
59;59156;Lourches;3.35382873;50.31453848
59;59700;Marcq-en-Barœul;3.09218771;50.67299202
59;59770;Marly;3.54078174;50.35106905
59;59600;Maubeuge;3.96736125;50.27978531
59;59590;Raismes;3.48195867;50.39115949
59;59100;Roubaix;3.18611838;50.6901015
59;59100;Roubaix;3.17358092;50.7003946
59;59100;Roubaix;3.18279663;50.68184889
59;59230;Saint-Amand-les-Eaux;3.42795296;50.44956316
59;59490;Somain;3.28193664;50.35888337
59;59200;Tourcoing;3.16163049;50.72453453
59;59300;Valenciennes;3.52176241;50.35723761
59;59650;Villeneuve-d'Ascq;3.13253518;50.61926686
59;59135;Wallers;3.38962157;50.37337033
59;59290;Wasquehal;3.12769983;50.66937268
59;59139;Wattignies;3.04566547;50.58934166
59;59150;Wattrelos;3.21761208;50.70170206
60;60000;Beauvais;2.07227459;49.42442619
60;60200;Compiègne;2.81084771;49.40862365
60;60100;Creil;2.47588979;49.26132933
61;61000;Alençon;0.09280313;48.43231014
61;61200;Argentan;-0.02285741;48.74642925
61;61100;Flers;-0.56332344;48.75144558
62;62220;Carvin;2.95535702;50.48964777
62;62110;Hénin-Beaumont;2.95732132;50.42134154
62;62800;Liévin;2.77729529;50.42338363
62;62217;Achicourt;2.76442891;50.2734372
62;62000;Arras;2.76453267;50.29707471
62;62000;Arras;2.74647357;50.30236216
62;62260;Auchel;2.47605207;50.50189325
62;62138;Auchy-les-Mines;2.79706842;50.52220602
62;62210;Avion;2.82983928;50.41591057
62;62230;Outreau;1.58296855;50.70743709
62;62620;Barlin;2.6180423;50.45705897
62;62600;Berck;1.56594118;50.402797
62;62200;Boulogne-sur-Mer;1.60634931;50.72076328
62;62200;Boulogne-sur-Mer;1.60669155;50.73474036
62;62700;Bruay-la-Buissière;2.54541069;50.48265483
62;62400;Béthune;2.63587564;50.52943764
62;62100;Calais;1.85543313;50.95762391
